,Aircraft,Cabin Staff Service,Comment,Date Flown,Food & Beverages,Ground Service,Inflight Entertainment,Rate,Recommended,Route,Seat Comfort,Seat Type,Type Of Traveller,Value For Money,Wifi & Connectivity
79,A380,5.0,"✅ Trip Verified |  San Francisco to London Heathrow on the lower deck of the A380 - a very quiet smooth flight. Did not want to pay the usual BA extortionate seat pre-reservation fees but still got seats together. After the real scrum at the departure gate - no apparent order, struggle to get through to Priority Lane, announcements completely inaudible etc we boarded to the reasonably comfortable, if narrow, seats. Of course the usual BA Club Class ""scramble over the legs"" to get to the aisle and 8 abreast - not really a premium product in today's competitive Business Class World. Welcomed with glass of champagne by attentive FA. OK meal - beef - with decent wines to accompany. Much more up to date touch screen AVOD system but still a dreadful choice of ""blockbuster"" films. Very extensive choice for breakfast - continental and cooked if you wanted it. Really very good FA's - made you feel welcome. Landed on time but baggage, for some reason, took about 3/4 hour to get to the belt. As usual I have mixed feelings about BA - if we are lucky enough to fly Club/Business Class it is comfortable but you do feel a bit let down by the appalling layout and huge charge to pre-reserve seat. If Virgin Atlantic fly the same route I will always choose their Upper Class as everyone has aisle access and you don't have to pay to pre-reserve your seat.",July 2018,4.0,4.0,1.0,22.0,no,San Francisco to London Heathrow,4.0,Business Class,Couple Leisure,4.0,0.0
80,,5.0,✅ Trip Verified |  London to Dublin. This was an early morning departure from Heathrow on a full flight. BA managed everything in a very professional manner. The bag-drop was efficient and the boarding process was conducted according to the rules. The cabin crew were immaculate in appearance and conducted the safety demonstration along with a video. During this short and very busy flight the crew were able to sell drinks and snacks and left a superb impression. I had a not so good experience with this airline earlier in the year and am glad to see that this time they were superb.,August 2018,2.0,4.0,0.0,19.0,yes,London to Dublin,5.0,Economy Class,Solo Leisure,3.0,0.0
81,A321,5.0,"✅ Trip Verified |  London to Paris. I wish that they would update their aircraft or perhaps even do a little refurbishing. Especially when the seats feel worn out and the quality for what you are paying for does not feel worth it. That being said, this is better than any low-cost carrier.",January 2018,5.0,4.0,0.0,20.0,yes,London to Paris,3.0,Economy Class,Couple Leisure,3.0,0.0
82,A320,5.0,"✅ Trip Verified |  Delivering outstanding customer service onboard. British Airways may not have the cleanest, newest or comfortable aircraft but their customer service has always been a delight  since I have flown with them.",June 2018,4.0,4.0,0.0,20.0,yes,Amsterdam to London,3.0,Economy Class,Couple Leisure,4.0,0.0
83,Boeing 777,5.0,"✅ Trip Verified | This was a night flight New York JFK to London, so it was difficult to assess the service onboard, although what I experienced was certainly not bad. I think this was a very quiet flight, judging from the number of people around the gate, and there were only another 4-5 pax in First. But it's quite hard to tell when wrapped in the cocoons of the Concorde Room and First cabin. The former felt very exclusive but, as commented elsewhere, to the point of being fussy. It's irritating that they don't have any showers in the Concorde Room; I wasn't amused to check in at the Galleries (business) Lounge, be brusquely sent on to Concorde, only to have to return to Galeries upon learning that that were no showers in the former (it was 7pm, early August in NYC - of course I needed a shower!). Departures from NY were running around 3 hours late that evening due to weather, and we were warned about a 60 min taxi to the runway. But we were very well looked after at that point; the cabin wasn't secured until just before takeoff, and the boredom of the taxi was eased by multiple - and very welcome - top-ups of champagne, seved by various members of the crew. Likewise, all the perks of first class were there; I was addressed by name, the crew introduced themselves individually, dinner and drinks orders were taken, etc. All very courteous and professional. After such a long delay, I decided to have some more dinner as I was quite peckish; this came with some excellent wine, and was served promptly, so there was still plenty of time for sleep. But the soup was cold, and the main wouldn't have been out of place in business class. Moreover, it would have been nice if someone had mentioned that the BA arrivals lounge at LHR would be closing by the time our delayed flight reached its destination; had I known this, I would have had breakfast and a freshen up on the plane. A very annoying oversight that led to quite a lot of inconvenience (picture a spoilt guy trying to insert contact lenses in T5 arrivals toilets...perhaps you saw me?). The cabin layout and bed: well, it's easy to find details of this elsewhere online. But it's certainly nothing special for First Class. Overall, a very acceptable flight, but I felt that the overly-fussy service sometimes got in the way of the practicalities of a short overnight Atlantic crossing (where can I have a shower in the morning? Where will I be having breakfast?). I've had business class flights from other carriers that have absolutely nailed these aspects. ",August 2018,3.0,5.0,0.0,21.0,no,New York JFK to London,4.0,First Class,Solo Leisure,4.0,0.0
84,,1.0,"✅ Trip Verified |  Amman to London. Appalling service both on the flight and subsequent customer service. We are strict vegans so pre-booked vegan meals for our flight. Meals were delivered as usual, and had the vegan slip on them, but as I was about to start eating I noticed that I had been given butter - this made me doubt the authenticity of the meal. When I called the staff over she had no idea what a vegan was, informing me that there was no meat in it. I had to explain to her what a vegan was (i.e; no dairy or eggs). It turns out that the so called 'vegan meal' had milk and egg in it. Needless to say we did not eat our meals and they had no vegan meals. Shortly after they came around with the drinks/trolley, so we asked for a coffee with Soya Milk - the staff to whom I had had to explain what a vegan was said ""oh I don't think we have that, but we have semi skimmed milk"". I had to re-explain to her that a vegan does not have milk she said she would go and ask. When she returned she said 'We don't provide that sort of thing."" That was strange, because 2 weeks ago on the outbound journey you did. So we had no meals, no hot drinks, and our video screen did not work. The Customer Service that followed from was more appalling, they could not care less, it took ages to get replies and when i did I was just palmed off. After several months of having to write emails I was informed that I had to submit everything by letter as they needed it on paper, which was just another way of getting rid of us. So we did this, after several more weeks they offered us the most pathetic compensation - basically the value of the meals that we could not eat - in vouchers. ",April 2018,1.0,1.0,1.0,7.0,no,Amman to London,2.0,Economy Class,Couple Leisure,1.0,0.0
85,A320,5.0,"✅ Trip Verified |  Paphos to London Gatwick in Club Europe. We had checked before leaving our hotel and realised that the flight was delayed, as were many other flights, due to bad weather the previous evening in UK. We checked in on time, only to be advised that there was no lounge available for Club Europe passengers and if we wanted to use the premium lounge we could pay! Whilst we appreciate that there may not be a BA lounge it is normal that BA would have an arrangement with the local lounge provider as we have experience at many other airports when travelling in business class. We were offered a €10 voucher each, due to the delayed flight!! Paphos airport was extremely crowded and having paid good money to travel in business class we were very disappointed with BA, that no lounge access was available. The flight itself was OK, although two hours late. The cabin crew provided good service and the meal service reasonable, my wife chose the chilli con carne and I chose the roasted chicken, both were a little dry. On arrival at Gatwick at 01-00 we were through passport control quickly and then waited 45 minutes for the cases to be delivered, again very poor show. BA has some great assets, particularly the cabin crew, but we felt let down by the ground services at both end of this flight Like us many travellers like to travel with a 'full service' airline and in this case BA were lacking.",July 2018,3.0,1.0,0.0,15.0,no,Paphos to Gatwick,3.0,Business Class,Couple Leisure,3.0,0.0
86,A320,5.0,"✅ Trip Verified |  Gatwick to Paphos in Club Europe. We travelled on the first Saturday of the school holidays and whilst Gatwick was busy the check in for business class was not to bad. We expected the lounge to be busy but there was plenty of free seats. The flight boarded slightly late but we were not long in the take off queue. We are used the BA's Club Europe offering and whilst would prefer a little more leg room the flight was reasonably comfortable. Service from the cabin crew was good. It is nice that BA have gone away from the miniature bottles of wine in Club Europe and now serve by the glass. The meal service was quite good, we both chose the chicken curry for the main course, which was tasty and not dried out. Flight arrived 5 minutes ahead of schedule. Very happy with the service.",July 2018,4.0,4.0,0.0,20.0,yes,Gatwick to Paphos,3.0,Business Class,Couple Leisure,4.0,0.0
87,Boeing 747-400,5.0,"✅ Trip Verified |  
New York to Nairobi via London. Flight Attendants were wonderful, friendly, cheery and helpful. But the business Class seats that face aft cause the passenger to have to crawl over the legs of a sleeping stranger, even if you are seated next to a companion. There is no easily accessible storage space by the seat; even for a bottle of water. The IFE on the LHR-NBO leg reminds me of the game ""pong"" in its resolution and food is mediocre, at best. BA charges to select Business Class seats. For my family of 4, it would have cost over $1,600 to get 4 assigned seats on the 4 segments.",July 2018,2.0,2.0,2.0,15.0,no,New York to Nairobi via London,2.0,Business Class,Family Leisure,2.0,0.0
88,,1.0,"✅ Trip Verified |  Istanbul to London Heathrow. The plane itself was old, I found the  food choices were a joke considering we have to pay for the privilege and we were not allowed to bring our laptops on the plane back, had to be checked in for security purposes. This meant that when I was at Ataturk airport we had no less than 3 separate security checks. 1 before check in, one after check in and one before getting on the plane. Because we had no laptop there was no entertainment on board and nothing to do for the 4 hours on the plane. Norwegian offers free wifi so I could check my phone on the plane. British Airways need to improve their service levels.",July 2018,0.0,1.0,1.0,5.0,no,Istanbul to London Heathrow,1.0,Economy Class,Business,1.0,0.0
89,,2.0,"✅ Trip Verified |  Bad service and attitude all round. My fiasco was when my flight from London was cancelled due to failure of their systems. BA refused to rebook us at the airport, instead made to wait over an hour on the phone to customer services which resulted in us being routed to Milan via Madrid a day later. BA are now dragging their heels over reimbursing me travel, food and refreshment costs.  We were stranded at the airport, no help to find a hotel, zero customer care or empathy. Premium prices for a Ryanair style service. ",July 2018,0.0,1.0,0.0,7.0,no,Heathrow to Milan,3.0,Economy Class,Family Leisure,1.0,0.0
90,Boeing 787-9,5.0,"✅ Trip Verified |  London to Santiago de Chile. I was flying premium economy with BA and surprised that I got a row (2 seats on the left side) for my own. The seat was spacious and even with an occupied neighbour seat, I would have had enough space to feel very comfortable. However, Lufthansa on the A380 (also Y+) gives a bit more personal space (at least it seems to me). The seat recline was good as well as the ife system (big screen, wide choice of programs of which I chose to listen to some BBC concerts). The crew didn't impress me but was very friendly and helpful. The food was extraordinarily good (the chicken I had was very delicious) with sufficient food (cheese, salad, dessert). The frittata on breakfast wasn't good, however. I didn't like that they sealed the drinks 40 minutes before the arrival (a bit early).  I had a good experience with BA and would definitely fly again as all the things (seat, ground, service, staff) were like expected (the dinner was way above average). Premium economy is a good value for money, especially on a 15 hrs flight.",July 2018,4.0,4.0,4.0,26.0,yes,London to Santiago de Chile,4.0,Premium Economy,Business,5.0,0.0
91,Boeing 777,4.0,"✅ Trip Verified |  Flew a now ageing B777 flight BA 0053 to Seattle. Pleasant flight with actually quite decent fillet steak for main meal. OK choice of wine / beer with meal and greeted with glass of Prosecco when boarded. Comfortable seat BUT it's the old bug bear - 8 across with ""over the legs"" access to the aisle. Fortunately we were in the last row so my wife was in the window seat with direct aisle access. And we could look at each other and not at a total stranger. I know BA are saying that they are introducing direct aisle access for everyone in Club Class but this can't come soon enough - and 8 abreast is not exactly a Premium Product in the present circumstances, is it? Absolutely terrible In Flight Entertainment system - although it was On Demand the aircraft was fitted with a very ancient system: blurry, old screens, awful audio (take your own noise reducing headphones) and a pretty dreadful choice of movies.... FA's great welcoming and gave good service. But the main drawback with BA is their insistence that, having paid for a premium service, we then have to pay handsomely again to pre-reserve our seats (up to £105 per seat per journey!).  Not what I expect from a flag carrier airline. We refuse to pay this extortionate sum - our choices have been noted on the loyalty card scheme and fortunately we have got seats together so far. So, although we had quite a pleasant flight to Seattle with BA in Club, if Virgin Atlantic fly the same route we will choose their Upper Class over Clubworld - we can still reserve our seats for free with them.",July 2018,4.0,4.0,2.0,22.0,no,London Heathrow to Seattle Tacoma,4.0,Business Class,Couple Leisure,4.0,0.0
92,A320-200,4.0,"✅ Trip Verified | Flew London Gatwick to Tirana Rinas. Bag drop at Gatwick was basically seamless, and BA was offering to check in your hand baggage for free. The flight was at 8:10 and the gate was supposed to be shown at 7:24 am, which was oddly specific, but as we got closer to that time, that just got more and more delayed. Until we finally got our gate info at around 7:45. For which boarding had already started. Boarding was pretty much seamless. The cabin crew greeted all the passengers which was nice. The legroom was alright, perfectly fine for a 2 and and a half hour flight. Good recline aswell. I don’t understand why British Airways opted for buy on board, their free food offering before was perfectly fine. Although the food offering was just a few sandwiches which were quite expensive. And there was no real hot food options, just a few of their sandwiches could be served hot. Flights were on time. Flights cost around £320 return per person, which was quite pricey considering the cheapest option was around half the price. So overall, it’s a good option, but if you can find something cheaper, then go for it.",July 2018,3.0,5.0,0.0,19.0,yes,London Gatwick to Tirana Rinas,4.0,Economy Class,Family Leisure,3.0,0.0
93,A320,5.0,"✅ Trip Verified |  London Heathrow to Murcia and back. A few problems at Heathrow with the wrong gate being shown (BA ground staff didn't seem to care this was an issue) but the flights were excellent, comfortable and on time. I really don't mind paying for the food and drink inflight, especially as you can pay using Avios. Murcia airport also a joy. Small, efficient and friendly. I will only fly BA on short haul in Europe. Very impressed.",July 2018,5.0,3.0,0.0,23.0,yes,London to Murcia ,5.0,Economy Class,Couple Leisure,5.0,0.0
94,A321,4.0,"✅ Trip Verified |  London to Amsterdam. BA's service has gone notably downhill in the past couple of years, but tonight's experience really takes the biscuit. I should now be in Amsterdam - however, I am still writing this from London despite spending over 4 hours on a plane to nowhere. We boarded just about on time, around 1930, only to be told that due to weather there would be a delay of an hour or so. Shortly after, we were told that the routes north of LHR were shut, and no planes were taking off. About an hour into the ordeal, we were told that the airspace had reopened, but there would be a 90 minute wait for a slot. One more hour in, we were told airspace was shut again. After 3 hours, good news! - or so we thought - we were to be on the move around 20 minutes or so later. We did then leave the gate, and we were given the safety briefing and taxied out to the runway. We were then stopped halfway down the taxiway and told that AMS would be shut due to night flight restrictions by the time we would have arrived, so our flight wad cancelled. We taxied back to the gate, where we waited a further 10-15 minutes for ground staff to become available. I must say during this 4 and a quarter odd ordeal, the pilot was informative and tried to stay upbeat, and the cabin crew were very good. The crew gave us the in-flight service (minus alcohol) so we were well fed and watered. This is the full extent of my praise though. Little was I to know that the real disaster was still to come. BA's ground handling was attrocious. We were told to head up to departures for hotel vouchers and rebookings. However, BA had cancelled around 7 flights, and the queues were very lengthy. Vouchers were being handed out to sleep on the floor of a hotel ballroom because ""all the rooms were full"". I have never heard anything like it. This is beyond unbelievable. No assistance for children, elderly, and no preferential treatment for connecting passengers or premium passengers, as is the norm in this situation. Further, the promised ""rebooking"" staff had all gone home - I was told to consult the BA app the following morning. BA's app has rebooked my flights - two days later, when my trip was for three days total. The feature on the app to select a different date for my flights, so I can replan my trip for another weekend, is broken. I guess I'll be trying out their call centre in the morning. This is all simply appalling. We all understand that adverse weather happens. But to keep us on a plane for 4+ hours when they knew before boarding that there would be delays is not on. Moreover, BA surely know the opening hours of their destination airports. Why they could not have prioritised the AMS flight over flights to 24-hour airports I do not know. And as for the ground handling, I have never had an experience this bad. BA staff themselves were thin on the ground - they left most of the work to Heathrow staff, who admittedly tried their best but hid behind the ""we don't work for BA excuse"". I've had a cancelled flight before and yet still wrote the airline involved a glowing review, because they genuinely couldn't have handled it better. By contrast, I don't see how BA could have handled this worse. They really are indistinguishable from the budget airlines these days, save for the good lounges if you fly business.",July 2018,3.0,1.0,0.0,12.0,no,London to Amsterdam,3.0,Business Class,Solo Leisure,1.0,0.0
95,Boeing 777,1.0,"✅ Trip Verified |  Aberdeen to Abu Dhabi via London. Despite being a Gold Member of the Executive Club I try to avoid British Airways these days and now I've reminded myself why. Flight crew don't afford old fashioned courtesy or service. I'm not saying they are rude, just that they don't provide a decent level of customer service. You get the basics and good luck if you want to grab their attention. They walk up and down the aisle without making eye contact. No bags at the other end on arrival which I guess you have to live with, however the way they deal with it is appalling. Couldn't care less I feel. 3hr delay on return flights. Seems BA is unsure if they want to be a budget airline or a true contender.",July 2018,1.0,1.0,4.0,13.0,no,Aberdeen to Abu Dhabi via London,3.0,Economy Class,Family Leisure,3.0,0.0
96,A320 / Boeing 747-400,5.0,"✅ Trip Verified |  Prague to Denver via London. I almost missed my flight because at check-in I had to complete some really important papers that took 40 minutes -  later, no one asked me for those papers. Flight to Heathrow was average, what you expect from a 2 hour flight. At Heathrow the security lasted me  30 minutes. When I boarded the next the plane a lack of leg room, it was less than the flight before.  The flight then was pretty much okay, the food was delicious, had pasta with tomato sauce and several times drinks, the flight staff was kind and helpful. But the plane had no paid Wi-Fi, no outlets or USB ports, the screens were low quality.",June 2018,5.0,1.0,3.0,19.0,no,Prague to Denver via London,3.0,Economy Class,Solo Leisure,2.0,0.0
97,A319,1.0,"✅ Trip Verified |  Seville to Gatwick. If it wasn't for Avios and the fantastic deal that this can make flying BA if you collect them and use Executive Club for award tickets within Europe I would never fly BA given the current product. The cabin was old, cramped and dirty. The cabin crew were abrupt and surly. The buy-on-board is still a massive bug-bear - we were on award tickets but think it is unacceptable for food not to be complimentary. ",July 2018,1.0,1.0,0.0,8.0,no,Seville to Gatwick,2.0,Economy Class,Couple Leisure,3.0,0.0
98,,1.0,"✅ Trip Verified |  London to Amsterdam. A delayed BA flight by 55 mins. Old airplane, unhelpful staff. Delays seem so regular that staff have a casual attitude to delays. Another terrible show from British Airways. ",July 2018,0.0,1.0,0.0,4.0,no,London to Amsterdam,1.0,Economy Class,Solo Leisure,1.0,0.0
99,,3.0,"✅ Trip Verified |  Gatwick to Barcelona . Check in efficient and friendly and helpful staff. Staff very welcoming in lounge and on board flight. However, the in flight product has deteriorated - salad ran out so no food option for business class passengers - had to have sandwich. Seats dirty and no middle seat tray although business class. No priority boarding for business passengers. Really disorganized at boarding - calling people by groups and lines becoming mixed up. On arrival no bags and trying to get update but no update. Trying to get update on baggage after 12 hours but no update. ",July 2018,1.0,4.0,0.0,10.0,no,Gatwick to Barcelona ,1.0,Business Class,Couple Leisure,1.0,0.0
